dir,files,MB,md,json,yaml,top,is_archive
.agent,8,0.070631,4,0,4,.agent,False
.agent/agents/claude,1,7.5e-05,0,0,1,.agent,False
.agent/agents/gemini,1,7.5e-05,0,0,1,.agent,False
.agent/agents/grok,1,7.3e-05,0,0,1,.agent,False
.agent/citizenship/applications,1,0.006477,0,0,1,.agent,False
.agent/config,1,0.001206,0,0,1,.agent,False
.agent/deck,24,0.029869,1,0,23,.agent,False
.agent/docs,1,0.011478,1,0,0,.agent,False
.agent/emergency,9,0.133495,9,0,0,.agent,False
.agent/handoffs,1,0.008396,1,0,0,.agent,False
.agent/hooks,1,0.001286,1,0,0,.agent,False
.agent/intelligence,22,0.365348,15,3,4,.agent,False
.agent/intelligence/centripetal_scans,17,0.030422,16,1,0,.agent,False
.agent/intelligence/chunks,3,1.663367,0,3,0,.agent,False
.agent/intelligence/comm_analysis,15,0.159134,5,10,0,.agent,False
.agent/intelligence/confidence_reports,7,0.149963,0,7,0,.agent,False
.agent/intelligence/evolution,1,0.008209,1,0,0,.agent,False
.agent/intelligence/triage_reports,10,0.126575,0,10,0,.agent,False
.agent/intelligence/truths,1,0.003274,0,0,1,.agent,False
.agent/macros,2,0.006662,1,0,1,.agent,False
.agent/macros/library,2,0.013274,0,0,2,.agent,False
.agent/macros/logs/MACRO-001,8,0.024152,0,0,8,.agent,False
.agent/macros/schema,1,0.005854,0,0,1,.agent,False
.agent/registry,4,0.021377,3,0,1,.agent,False
.agent/registry/active,33,0.036894,0,0,33,.agent,False
.agent/registry/archive,35,0.030756,0,0,35,.agent,False
.agent/registry/archive/2026-01-23,9,0.017978,0,0,9,.agent,False
.agent/registry/batches,1,0.004192,0,0,1,.agent,False
.agent/registry/claimed,1,0.001836,1,0,0,.agent,False
.agent/registry/inbox,69,0.068243,0,0,69,.agent,False
.agent/roadmaps,1,0.002986,0,0,1,.agent,False
.agent/runs,1,0.002816,0,0,1,.agent,False
.agent/schema,6,0.048603,0,0,6,.agent,False
.agent/specs,13,0.134988,12,0,1,.agent,False
.agent/specs/archive,2,0.025162,2,0,0,.agent,False
.agent/sprints,3,0.009209,0,0,3,.agent,False
.agent/state,5,0.001636,0,0,5,.agent,False
.claude,1,6.7e-05,0,1,0,.claude,False
.claude/rules,2,0.001759,2,0,0,.claude,False
.collider-full,3,71.504031,0,3,0,.collider-full,False
.gemini/context,2,0.001946,2,0,0,.gemini,False
.pytest_cache,1,0.000302,1,0,0,.pytest_cache,True
.vscode,1,0.000193,0,1,0,.vscode,False
<root>,15,0.230027,14,0,1,<root>,False
architecture_report,1,0.006521,0,1,0,architecture_report,False
architecture_report/collider_analysis,2,15.579033,0,2,0,architecture_report,False
archive/agent_cuts/2026-01-23,3,0.015291,2,0,1,archive,True
archive/agent_cuts/2026-01-23/truths_history,2,0.000814,0,0,2,archive,True
archive/agent_cuts/2026-01-23/workflows,1,0.00208,1,0,0,archive,True
archive/context-management-agent-2026-01-23,3,0.072803,3,0,0,archive,True
archive/context-management-agent-2026-01-23/orientation,8,0.072094,6,2,0,archive,True
archive/context-management-agent-2026-01-23/workflows,1,0.000489,1,0,0,archive,True
archive/data,9,0.185689,0,9,0,archive,True
archive/dead_code/2026-01-25,2,0.00791,1,0,1,archive,True
