path,extension,domain,category,intel_model,size_bytes,modified,hash_short,status
.DS_Store,,meta,data,N/A,14340,2026-01-21T08:37:19.181197,38ab59fb,new
.agent/CODOME_MANIFEST.yaml,.yaml,observer,config,N/A,23652,2026-01-25T20:41:44.228273,6c6f7597,new
.agent/CONSOLIDATED_POSSIBILITIES.md,.md,observer,doc,N/A,5847,2026-01-24T04:34:35.606503,9c04afba,new
.agent/KERNEL.md,.md,observer,doc,N/A,9451,2026-01-24T15:25:24.677170,c4f55c95,new
.agent/META_REGISTRY.yaml,.yaml,observer,config,N/A,2489,2026-01-25T03:36:03.317277,a600ba35,new
.agent/ROADMAP.yaml,.yaml,observer,config,N/A,8202,2026-01-24T16:49:07.832116,f850c6fe,new
.agent/SPRAWL_CONSOLIDATION_PLAN.md,.md,observer,doc,N/A,2707,2026-01-23T15:28:28.000870,3723ef79,new
.agent/SUBSYSTEM_INTEGRATION.md,.md,observer,doc,N/A,15720,2026-01-25T23:18:31.374167,dd1b0787,new
.agent/agents/claude/todo.yaml,.yaml,observer,config,N/A,75,2026-01-23T06:28:09.571674,b3324d83,new
.agent/agents/gemini/todo.yaml,.yaml,observer,config,N/A,75,2026-01-23T06:28:09.573823,5b787061,new
.agent/agents/grok/todo.yaml,.yaml,observer,config,N/A,73,2026-01-23T06:28:09.576463,bea2236a,new
.agent/config/hue_wheel.yaml,.yaml,observer,config,N/A,1206,2026-01-23T16:04:34.178318,dc764002,new
.agent/deck/CARD-ANA-001.yaml,.yaml,observer,config,N/A,1557,2026-01-23T15:12:48.177312,736878f9,new
.agent/deck/CARD-AUD-001.yaml,.yaml,observer,config,N/A,2383,2026-01-25T22:19:55.820128,c55ffdc4,new
.agent/deck/CARD-DOC-001.yaml,.yaml,observer,config,N/A,1419,2026-01-23T15:14:30.059988,5dc927ff,new
.agent/deck/CARD-GIT-001.yaml,.yaml,observer,config,N/A,1627,2026-01-23T15:12:47.676960,292be493,new
.agent/deck/CARD-OPP-059.yaml,.yaml,observer,config,N/A,1440,2026-01-25T22:20:01.824830,709b58f2,new
.agent/deck/CARD-OPP-060.yaml,.yaml,observer,config,N/A,1210,2026-01-25T22:20:01.826764,1d306fdf,new
.agent/deck/CARD-OPP-061.yaml,.yaml,observer,config,N/A,658,2026-01-25T22:20:01.823221,59021a49,new
.agent/deck/CARD-OPP-062.yaml,.yaml,observer,config,N/A,700,2026-01-25T22:20:01.827854,66eec273,new
.agent/deck/CARD-OPP-063.yaml,.yaml,observer,config,N/A,672,2026-01-25T22:20:01.827341,d84c5a17,new
.agent/deck/CARD-OPP-064.yaml,.yaml,observer,config,N/A,702,2026-01-25T22:20:01.825859,82062679,new
.agent/deck/CARD-OPP-065.yaml,.yaml,observer,config,N/A,700,2026-01-25T22:20:01.825352,5891c6a5,new
.agent/deck/CARD-OPP-066.yaml,.yaml,observer,config,N/A,688,2026-01-25T22:20:01.824002,25d8bd1a,new
.agent/deck/CARD-OPP-067.yaml,.yaml,observer,config,N/A,790,2026-01-25T22:20:01.830465,08a3ea9a,new
.agent/deck/CARD-OPP-071.yaml,.yaml,observer,config,N/A,734,2026-01-25T22:20:01.830981,43416d7b,new
.agent/deck/CARD-OPP-076.yaml,.yaml,observer,config,N/A,727,2026-01-25T22:20:01.829398,8b3a2aa0,new
.agent/deck/CARD-OPP-077.yaml,.yaml,observer,config,N/A,736,2026-01-25T22:20:01.828881,4e6b704d,new
.agent/deck/CARD-OPP-082.yaml,.yaml,observer,config,N/A,742,2026-01-25T22:20:01.828377,fd40bc5c,new
.agent/deck/CARD-OPP-083.yaml,.yaml,observer,config,N/A,757,2026-01-25T22:20:01.829927,bbbb585b,new
.agent/deck/CARD-OPP-084.yaml,.yaml,observer,config,N/A,724,2026-01-25T22:20:01.832625,6ced90d4,new
.agent/deck/CARD-RES-001.yaml,.yaml,observer,config,N/A,1712,2026-01-23T15:12:47.056482,61b353df,new
.agent/deck/CARD-RES-002.yaml,.yaml,observer,config,N/A,1614,2026-01-23T15:12:48.690909,f309602e,new
.agent/deck/CARD-SES-001.yaml,.yaml,observer,config,N/A,4633,2026-01-23T16:14:38.950602,2433e704,new
.agent/deck/CARD-WLD-000.yaml,.yaml,observer,config,N/A,1786,2026-01-23T15:14:34.487610,e765a25f,new
.agent/deck/DEPRECATED.md,.md,observer,doc,N/A,845,2026-01-26T01:21:22.704890,0f99a852,new
.agent/docs/CONSOLIDATION_REPORT.md,.md,observer,doc,N/A,11478,2026-01-25T20:41:44.228540,1c63f7e2,new
.agent/hooks/README.md,.md,observer,tool,D,1286,2026-01-25T23:52:57.196294,21ee7e13,new
.agent/hooks/post-commit,,observer,tool,D,1292,2026-01-25T23:52:57.196404,9bf6e27f,new
.agent/intelligence/AI_ENRICHMENT_CHALLENGE_REPORT.md,.md,observer,doc,N/A,5594,2026-01-23T08:44:43.295028,8215c5fd,new
.agent/intelligence/LEGACY_SPRAWL_MAP.md,.md,observer,doc,N/A,5923,2026-01-23T08:27:18.542517,c76a00f8,new
.agent/intelligence/LOL.yaml,.yaml,observer,config,N/A,70670,2026-01-26T01:55:40.814108,b6674ef9,new
.agent/intelligence/LOL_FORMAL_DEFINITION.md,.md,observer,doc,N/A,5332,2026-01-26T01:43:58.276103,26b85f9e,new
.agent/intelligence/PRIORITY_MATRIX.md,.md,observer,doc,N/A,6941,2026-01-25T20:41:44.228842,2057ec28,new
.agent/intelligence/SELF_PORTRAIT.md,.md,observer,doc,N/A,9095,2026-01-25T20:41:44.229018,507c74ad,new
.agent/intelligence/SKEPTICAL_AUDIT_REPORT_20260125.md,.md,observer,doc,N/A,18583,2026-01-25T22:12:25.830791,c991e521,new
.agent/intelligence/SOS_MAP_TRUTH.md,.md,observer,doc,N/A,8162,2026-01-25T22:21:14.020129,7585f49f,new
.agent/intelligence/TOOL_TAXONOMY.md,.md,observer,doc,N/A,11089,2026-01-26T01:40:45.175902,cc196bbc,new
.agent/intelligence/WAVE_PARTICLE_BALANCE.md,.md,observer,doc,N/A,5176,2026-01-23T18:56:02.506180,7d67f690,new
.agent/intelligence/aci_feedback.yaml,.yaml,observer,config,N/A,7560,2026-01-25T20:41:44.229419,739498f6,new
.agent/intelligence/autopilot_logs/autopilot_20260125.jsonl,.jsonl,observer,data,N/A,4517,2026-01-26T00:03:27.675593,91174011,new
.agent/intelligence/autopilot_logs/autopilot_20260126.jsonl,.jsonl,observer,data,N/A,26928,2026-01-26T02:23:00.664546,8b12c7eb,new
.agent/intelligence/boundary_analysis.json,.json,observer,data,N/A,14611,2026-01-26T02:23:00.296262,71599176,new
.agent/intelligence/centripetal_scan_log.txt,.txt,observer,data,N/A,11315,2026-01-23T16:18:19.995224,d7198450,new
.agent/intelligence/centripetal_scans/20260123_161810_SUMMARY.md,.md,observer,data,N/A,1880,2026-01-23T16:18:19.995098,a1643154,new
.agent/intelligence/centripetal_scans/20260123_161810_complete_scan.json,.json,observer,data,N/A,13735,2026-01-25T22:12:25.896534,b7475830,new
