age_days,category,ctime,domain,extension,freshness,hash_short,intel_model,is_god_class,modified,mtime,path,purpose_clarity,size_bytes,smoc_atom,smoc_atom_family,smoc_boundary,smoc_confidence,smoc_effect,smoc_layer,smoc_lifecycle,smoc_node_count,smoc_role,smoc_state,status,symmetry_state
4.8,data,2026-01-21T08:37:19.181197,meta,,FRESH,38ab59fb,N/A,N/A,2026-01-21T08:37:19.181197,2026-01-21T08:37:19.181197,.DS_Store,N/A,14340,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,N/A
0.3,config,2026-01-25T20:41:44.228273,observer,.yaml,FRESH,6c6f7597,N/A,N/A,2026-01-25T20:41:44.228273,2026-01-25T20:41:44.228273,.agent/CODOME_MANIFEST.yaml,N/A,23652,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,N/A
2.0,doc,2026-01-24T04:34:35.606602,observer,.md,FRESH,9c04afba,N/A,N/A,2026-01-24T04:34:35.606503,2026-01-24T04:34:35.606503,.agent/CONSOLIDATED_POSSIBILITIES.md,N/A,5847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,PHANTOM
1.5,doc,2026-01-24T15:25:24.677309,observer,.md,FRESH,c4f55c95,N/A,N/A,2026-01-24T15:25:24.677170,2026-01-24T15:25:24.677170,.agent/KERNEL.md,N/A,9451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,PHANTOM
1.0,config,2026-01-25T03:36:03.317423,observer,.yaml,FRESH,a600ba35,N/A,N/A,2026-01-25T03:36:03.317277,2026-01-25T03:36:03.317277,.agent/META_REGISTRY.yaml,N/A,2489,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,N/A
1.5,config,2026-01-24T16:49:07.832116,observer,.yaml,FRESH,f850c6fe,N/A,N/A,2026-01-24T16:49:07.832116,2026-01-24T16:49:07.832116,.agent/ROADMAP.yaml,N/A,8202,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,N/A
2.5,doc,2026-01-23T15:28:28.001017,observer,.md,FRESH,3723ef79,N/A,N/A,2026-01-23T15:28:28.000870,2026-01-23T15:28:28.000870,.agent/SPRAWL_CONSOLIDATION_PLAN.md,N/A,2707,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,PHANTOM
0.2,doc,2026-01-25T23:18:31.374167,observer,.md,FRESH,dd1b0787,N/A,N/A,2026-01-25T23:18:31.374167,2026-01-25T23:18:31.374167,.agent/SUBSYSTEM_INTEGRATION.md,N/A,15720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,PHANTOM
2.9,config,2026-01-23T06:28:09.571674,observer,.yaml,FRESH,b3324d83,N/A,N/A,2026-01-23T06:28:09.571674,2026-01-23T06:28:09.571674,.agent/agents/claude/todo.yaml,N/A,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,N/A
2.9,config,2026-01-23T06:28:09.573823,observer,.yaml,FRESH,5b787061,N/A,N/A,2026-01-23T06:28:09.573823,2026-01-23T06:28:09.573823,.agent/agents/gemini/todo.yaml,N/A,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tracked,N/A
