responsibility,purity,boundary,lifecycle,base_hadron,quark_parent,touchpoints,is_impossible,impossible_reason,visual_3d,emergence_rarity_2025,continente_cor,particula_fundamental,hadron_subtipo,forma_3d_base_variacao,exemplo_real_linguagem_neutro,regra_detecao
Create,Pure,Domain,Singleton,TestFile,Organization,"mutation,shared_state,deterministic,business_rules",False,,cube_crystalline+crown+dynamic,58.8%,Organization,Files,TestFile,cube + check,user.test.ts,test/jest/spec
Create,Pure,Domain,Scoped,Actor,Execution,"mutation,deterministic,business_rules",False,,icosahedron_crystalline+dynamic,56.2%,Execution,Executables,Actor,icosahedron + envelope,"class MyActor(Actor) (Akka, Orleans)",herda de Actor
Create,Pure,Domain,Transient,TryCatch,Logic & Flow,"mutation,deterministic,business_rules",False,,torus_crystalline+dynamic,78.9%,Logic & Flow,Control Structures,TryCatch,torus + shield,try { ... } catch,try/except
Create,Pure,Domain,Ephemeral,MainEntry,Execution,"mutation,deterministic,business_rules",False,,icosahedron_crystalline+fade+dynamic,47.0%,Execution,Executables,MainEntry,icosahedron + crown,"main(), if __name__",entry point
Create,Pure,Domain,Immutable,QueryHandler,Logic & Flow,"optimization,deterministic,mutation,thread_safe,business_rules,projection,read_access",True,Immutable cannot have mutating operations,octahedron_black_hole,0.0%,Logic & Flow,Functions,QueryHandler,octahedron + blue ring,handle(GetUserQuery),name contains Handle + Query
Create,Pure,Application,Singleton,GraphQLResolver,Execution,"mutation,shared_state,deterministic",False,,icosahedron_crystalline+crown+dynamic,60.7%,Execution,Executables,GraphQLResolver,icosahedron + graph,Query: { user },GraphQL field
Create,Pure,Application,Scoped,LocalVar,Foundations,"mutation,deterministic",False,,cylinder_crystalline+dynamic,32.2%,Foundations,Variables,LocalVar,cylinder + short,let total = 0;,local declaration
Create,Pure,Application,Transient,SourceFile,Organization,"mutation,deterministic",False,,cube_crystalline+dynamic,62.9%,Organization,Files,SourceFile,cube + language icon,user.py,.py/.ts/.java
Create,Pure,Application,Ephemeral,ContainerEntry,Execution,"mutation,deterministic",False,,icosahedron_crystalline+fade+dynamic,62.2%,Execution,Executables,ContainerEntry,icosahedron + docker logo overlay,"CMD [""node"",""app.js""] em Dockerfile",Dockerfile ENTRYPOINT/CMD
Create,Pure,Application,Immutable,DTO,Organization,"mutation,deterministic,thread_safe",True,Immutable cannot have mutating operations,sphere_black_hole,0.0%,Organization,Aggregates,DTO,sphere + flat,CreateUserRequest,"only data, no behavior"
Create,Pure,Infrastructure,Singleton,LiteralExpr,Logic & Flow,"mutation,technical_details,deterministic,shared_state",False,,cone_crystalline+crown+dynamic,46.0%,Logic & Flow,Expressions,LiteralExpr,cone + solid,"42, ""hello""",literal
Create,Pure,Infrastructure,Scoped,ConfigLoader,Execution,"mutation,technical_details,deterministic",False,,icosahedron_crystalline+dynamic,32.6%,Execution,Executables,ConfigLoader,icosahedron + config gear,viper.ReadInConfig(),config load call
Create,Pure,Infrastructure,Transient,CronJob,Execution,"mutation,technical_details,deterministic",False,,icosahedron_crystalline+dynamic,66.5%,Execution,Executables,CronJob,icosahedron + clock ring,"schedule: ""0 0 * * *""",cron schedule field
