component_id,type,symbol_kind,name,rel_file,line,confidence,evidence,purpose,internal_deps,external_deps,stdlib_deps
6e23232dbefb,Unknown,class,ParamTypes,params.py,19,30.0,class ParamTypes(Enum):,Unknown particle type,1,3,4
0072df12826b,Unknown,class,Param,params.py,26,30.0,class Param(FieldInfo):  # type: ignore[misc],Unknown particle type,1,3,4
b8df011f805b,Unknown,class,Path,params.py,144,30.0,class Path(Param):  # type: ignore[misc],Unknown particle type,1,3,4
4fdc0c911211,Query,class,Query,params.py,230,50.0,class Query(Param):  # type: ignore[misc],Immutable request for system information,1,3,4
4bb110a48e41,Unknown,class,Header,params.py,314,30.0,class Header(Param):  # type: ignore[misc],Unknown particle type,1,3,4
c35346229f43,Unknown,class,Cookie,params.py,400,30.0,class Cookie(Param):  # type: ignore[misc],Unknown particle type,1,3,4
708b78484f0e,Unknown,class,Body,params.py,484,30.0,class Body(FieldInfo):  # type: ignore[misc],Unknown particle type,1,3,4
d893f9cd6437,Unknown,class,Form,params.py,605,30.0,class Form(Body):  # type: ignore[misc],Unknown particle type,1,3,4
32201252d875,Unknown,class,File,params.py,689,30.0,class File(Form):  # type: ignore[misc],Unknown particle type,1,3,4
72ff78ce81b1,Unknown,class,Depends,params.py,774,30.0,class Depends:,Unknown particle type,1,3,4
c08a289abe94,Unknown,class,Security,params.py,781,30.0,class Security(Depends):,Unknown particle type,1,3,4
f7e952b7376e,DTO,class,UJSONResponse,responses.py,23,50.0,class UJSONResponse(JSONResponse):,Data transfer object / schema (no business behavior),0,9,1
90955722b0a1,DTO,class,ORJSONResponse,responses.py,36,50.0,class ORJSONResponse(JSONResponse):,Data transfer object / schema (no business behavior),0,9,1
7fe1fa6a2169,EventHandler,function,http_exception_handler,exception_handlers.py,11,50.0,"async def http_exception_handler(request: Request, exc: HTTPException) -> Response:",Handles domain events and executes side effects,0,8,0
715c31adac33,EventHandler,function,request_validation_exception_handler,exception_handlers.py,20,50.0,async def request_validation_exception_handler(,Handles domain events and executes side effects,0,8,0
141db9575d2f,EventHandler,function,websocket_request_validation_exception_handler,exception_handlers.py,29,50.0,async def websocket_request_validation_exception_handler(,Handles domain events and executes side effects,0,8,0
b27094596d17,Controller,class,FastAPI,applications.py,52,50.0,class FastAPI(Starlette):,Handles user input and coordinates application flow,0,24,2
49e94fad757c,Unknown,function,contextmanager_in_threadpool,concurrency.py,16,30.0,async def contextmanager_in_threadpool(,Unknown particle type,0,5,2
668da7c28c98,Unknown,class,BackgroundTasks,background.py,10,30.0,class BackgroundTasks(StarletteBackgroundTasks):,Unknown particle type,0,3,1
f80141b3733d,Unknown,function,isoformat,encoders.py,33,30.0,"def isoformat(o: Union[datetime.date, datetime.time]) -> str:",Unknown particle type,1,8,11
ae712229078a,Unknown,function,decimal_encoder,encoders.py,39,30.0,"def decimal_encoder(dec_value: Decimal) -> Union[int, float]:",Unknown particle type,1,8,11
6f6e51961d6c,Unknown,function,generate_encoders_by_class_tuples,encoders.py,100,30.0,def generate_encoders_by_class_tuples(,Unknown particle type,1,8,11
d894bdc6d4fa,Unknown,function,jsonable_encoder,encoders.py,114,30.0,def jsonable_encoder(,Unknown particle type,1,8,11
85ed28a64ff2,Unknown,function,main,cli.py,8,30.0,def main() -> None:,Unknown particle type,0,1,0
4662f4ed2254,Unknown,function,is_body_allowed_for_status_code,utils.py,44,30.0,"def is_body_allowed_for_status_code(status_code: Union[int, str, None]) -> bool:",Unknown particle type,3,9,5
f4a0c15b0177,Unknown,function,get_path_param_names,utils.py,61,30.0,def get_path_param_names(path: str) -> Set[str]:,Unknown particle type,3,9,5
3adbb94ae5fe,Factory,function,create_model_field,utils.py,76,50.0,def create_model_field(,Encapsulates complex object creation logic,3,9,5
7f6827893a4e,Factory,function,create_cloned_field,utils.py,141,50.0,def create_cloned_field(,Encapsulates complex object creation logic,3,9,5
e4687bdac8ab,Unknown,function,generate_operation_id_for_path,utils.py,204,30.0,def generate_operation_id_for_path(,Unknown particle type,3,9,5
cc4d0613f780,Unknown,function,generate_unique_id,utils.py,219,30.0,"def generate_unique_id(route: ""APIRoute"") -> str:",Unknown particle type,3,9,5
15223dd41c8a,Unknown,function,deep_dict_update,utils.py,227,30.0,"def deep_dict_update(main_dict: Dict[Any, Any], update_dict: Dict[Any, Any]) -> None:",Unknown particle type,3,9,5
fa5d25aaf181,Unknown,function,get_value_or_default,utils.py,245,30.0,def get_value_or_default(,Unknown particle type,3,9,5
