type,name,file_path,line,confidence,responsibility,purity,boundary,lifecycle,rpbl_score,evidence
Unknown,ParamTypes,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,19,30.0,5,5,5,5,5.0,class ParamTypes(Enum):
Unknown,Param,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,26,30.0,5,5,5,5,5.0,class Param(FieldInfo):  # type: ignore[misc]
Unknown,Path,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,144,30.0,5,5,5,5,5.0,class Path(Param):  # type: ignore[misc]
Query,Query,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,230,50.0,3,9,3,2,4.25,class Query(Param):  # type: ignore[misc]
Unknown,Header,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,314,30.0,5,5,5,5,5.0,class Header(Param):  # type: ignore[misc]
Unknown,Cookie,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,400,30.0,5,5,5,5,5.0,class Cookie(Param):  # type: ignore[misc]
Unknown,Body,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,484,30.0,5,5,5,5,5.0,class Body(FieldInfo):  # type: ignore[misc]
Unknown,Form,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,605,30.0,5,5,5,5,5.0,class Form(Body):  # type: ignore[misc]
Unknown,File,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,689,30.0,5,5,5,5,5.0,class File(Form):  # type: ignore[misc]
Unknown,Depends,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,774,30.0,5,5,5,5,5.0,class Depends:
Unknown,Security,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/params.py,781,30.0,5,5,5,5,5.0,class Security(Depends):
DTO,UJSONResponse,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/responses.py,23,50.0,4,8,8,3,5.75,class UJSONResponse(JSONResponse):
DTO,ORJSONResponse,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/responses.py,36,50.0,4,8,8,3,5.75,class ORJSONResponse(JSONResponse):
EventHandler,http_exception_handler,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/exception_handlers.py,11,50.0,6,4,6,5,5.25,"async def http_exception_handler(request: Request,"
EventHandler,request_validation_exception_handler,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/exception_handlers.py,20,50.0,6,4,6,5,5.25,async def request_validation_exception_handler(
EventHandler,websocket_request_validation_exception_handler,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/exception_handlers.py,29,50.0,6,4,6,5,5.25,async def websocket_request_validation_exception_h
Controller,FastAPI,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/applications.py,52,50.0,6,2,9,4,5.25,class FastAPI(Starlette):
Unknown,contextmanager_in_threadpool,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/concurrency.py,16,30.0,5,5,5,5,5.0,async def contextmanager_in_threadpool(
Unknown,BackgroundTasks,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/background.py,10,30.0,5,5,5,5,5.0,class BackgroundTasks(StarletteBackgroundTasks):
Unknown,isoformat,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/encoders.py,33,30.0,5,5,5,5,5.0,"def isoformat(o: Union[datetime.date, datetime.tim"
Unknown,decimal_encoder,/mnt/data/spectrometer_system_audit/validation/test_repos/fastapi/encoders.py,39,30.0,5,5,5,5,5.0,def decimal_encoder(dec_value: Decimal) -> Union[i
