-ilities|developmental, operational, and support requirements a program addresses (ISO/IEC/IEEE 24765l:2024)|
1GL|first-generation language (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
2GL|second-generation language (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
3D|three-dimensional (ISO/IEC/IEEE 23026:2023 Systems and software engineering--Engineering and management of websites for systems, software, and services information, 3.2)|
3GL|third-generation language (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
4GL|fourth-generation language|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
5GL|fifth-generation language|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
<Viewpoint> language|definitions of concepts and rules for the specification of an ODP system from the <viewpoint> viewpoint (ISO/IEC 10746-3:2009 Information technology -- Open Distributed Processing -- Reference Model: Architecture, 4.2.1.1)|
<X> domain|set of objects, each of which is related by a characterizing relationship &lt;X&gt; to a controlling object|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 10.3
<X> federation|a community of <x> domains|ISO/IEC 10746-3:2009 Information technology -- Open Distributed Processing -- Reference Model: Architecture, 5.1.2
<X> group|set of objects with a particular characterizing relationship &lt;X&gt;|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 10.1
<x> interceptor|engineering object in a channel, placed at a boundary between <x> domains (ISO/IEC 10746- 3:2009 Information technology -- Open Distributed Processing -- Reference Model: Architecture, 8.1.11)|
<x> pattern|abstract specification of a composition of objects that results in any instance of the composition having a given property, named by &lt;X&gt;|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 9.8
A-profile|Application profile|ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing -- Reference model: Overview
A/B testing|technique to determine the effectiveness of minor changes in a product or design where &quot;A&quot; represents the original version and &quot;B&quot; represents the modified version|ISO/IEC/IEEE 26513:2017 Systems and software engineering--Requirements for testers and reviewers of information for users, 3.1
A/B testing||
A/IS|autonomous/intelligent system|IEEE 7010-2020, IEEE Recommended Practice for Assessing the Impact of Autonomous and Intelligent Systems on Human Well-Being, 2.2
A/IS creator|person or entity that designs, develops, engineers, programs or similarly creates an autonomous/intelligent system (A/IS)|IEEE 7010-2020, IEEE Recommended Practice for Assessing the Impact of Autonomous and Intelligent Systems on Human Well-Being, 2.1
Aa|achieved availability|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
ABAC|attribute-based access control|IEEE 7005 2021, IEEE Standard for Transparent Employer Data Governance, 3.2
ABC|activity-based costing|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
abend|abnormal end|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
ability|acquired or natural capacity or talent that enables an individual to perform a particular task (INCOSE Systems Engineering Handbook, 5th ed.)|
abnormal end (abend)|termination of a process prior to completion|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
abnormal end (abend)|uncommanded cessation of software execution, typically resulting in a terminal failure (IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1)|
abort|to terminate a process prior to completion (ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary)|
absent variant|variant that is not determined or developed at the specific time|ISO/IEC 26554:2018 Information technology--Software and systems engineering-Tools and methods for product line testing, 3.1
absolute address|address that is permanently assigned to a device or storage location and that identifies the device or location without the need for translation or calculation (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
absolute assembler|assembler that produces absolute code (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
absolute code|code in which all addresses are absolute addresses (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
absolute instruction|computer instruction in which all addresses are absolute addresses (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
absolute loader|loader that reads absolute machine code into main memory, beginning at the initial address assigned to the code by the assembler or compiler, and performs no address adjustments on the code (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
absolute time|tick in a generally agreed chronological frame of reference (IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1)|
abstract behavior|description, model, or other general characterization of similar behaviors (IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1)|
abstract class|class that cannot be instantiated independently (ISO/IEC/IEEE 24765n:2025, 3.1.1)|
abstract data type|data type for which only the properties of the data and the operations to be performed on the data are specified, without concern for how the data are represented or how the operations are implemented|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
abstract design|generic form that needs specialization (further design work) to produce concrete designs|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
