transactionId,date,description,amount,currencyCode,type,status,category,categoryId,accountId,accountName,accountType,connectionId,connectorId,connectorName
txn_aeb8a490-adf0-4827-8246-c826f0978ff4,2025-12-10T02:59:00.000Z,REND PAGO APLIC AUT MAIS,0.01,BRL,CREDIT,POSTED,Proceeds interests and dividends,03060000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_d5d5651a-ca51-4355-8ef0-22a1cfaca0a4,2025-12-09T23:52:59.005Z,PIX QRS Latam Gatew09/12,-79,BRL,DEBIT,POSTED,Services,07000000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_be14fb72-a715-41b3-b415-5b5f8fd39438,2025-12-09T16:02:15.074Z,PIX QRS Gowd Instit09/12,-666,BRL,DEBIT,POSTED,Services,07000000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_e3eb93c6-5c77-4c95-bd8a-ed276490ca8e,2025-12-09T05:41:37.026Z,PIX QRS GOWD INSTIT09/12,-1666,BRL,DEBIT,POSTED,Services,07000000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_f1cdacd6-0365-4290-8a78-19267ef6cd00,2025-12-08T23:00:41.017Z,PIX TRANSF GOWD IN08/12,329.5,BRL,CREDIT,POSTED,Transfer - PIX,05070000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_be30bbe8-0276-4dbd-9983-0ae24aa075cf,2025-12-08T07:18:55.096Z,SISPAG ASSOCIACAO BRASILEIR,2028,BRL,CREDIT,POSTED,Income,01000000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_61a8656e-3d09-48f8-9213-ebdd6a8b779f,2025-12-07T10:30:39.940Z,Enviado - Pix com QR Code,-374,BRL,DEBIT,POSTED,Transfer - PIX,05070000,acc_7d8f43fb-6760-4966-b5cc-bf4633ab91eb,RecargaPay,BANK,conn_5e9b45de-7c51-4f5f-9b32-e8407b38c7c8,767,RecargaPay
txn_20e3054e-1832-4128-9b3c-770218c19154,2025-12-07T10:29:44.590Z,Recebido - Pix,374,BRL,CREDIT,POSTED,Non-recurring income,01050000,acc_7d8f43fb-6760-4966-b5cc-bf4633ab91eb,RecargaPay,BANK,conn_5e9b45de-7c51-4f5f-9b32-e8407b38c7c8,767,RecargaPay
txn_9ba4efd7-32e7-4989-ae1a-7dda0a906973,2025-12-07T10:26:27.560Z,Enviado - Pix,-34,BRL,DEBIT,POSTED,Transfer - PIX,05070000,acc_7d8f43fb-6760-4966-b5cc-bf4633ab91eb,RecargaPay,BANK,conn_5e9b45de-7c51-4f5f-9b32-e8407b38c7c8,767,RecargaPay
txn_90fa0fec-efe8-492c-aa2c-b8cfa04f6b5e,2025-12-07T10:25:17.540Z,Resgate do limite,34,BRL,CREDIT,POSTED,Investments,03000000,acc_7d8f43fb-6760-4966-b5cc-bf4633ab91eb,RecargaPay,BANK,conn_5e9b45de-7c51-4f5f-9b32-e8407b38c7c8,767,RecargaPay
txn_ba1dc24f-0348-400d-a919-38c1e3852dd1,2025-12-07T10:21:21.760Z,Enviado - Pix,-150,BRL,DEBIT,POSTED,Transfer - PIX,05070000,acc_7d8f43fb-6760-4966-b5cc-bf4633ab91eb,RecargaPay,BANK,conn_5e9b45de-7c51-4f5f-9b32-e8407b38c7c8,767,RecargaPay
txn_5346a51e-f44f-4095-ab63-404f98c8f005,2025-12-05T13:51:51.920Z,Cartão RecargaPay,0.5,BRL,CREDIT,POSTED,Transfers,05000000,acc_7d8f43fb-6760-4966-b5cc-bf4633ab91eb,RecargaPay,BANK,conn_5e9b45de-7c51-4f5f-9b32-e8407b38c7c8,767,RecargaPay
txn_2e5481a8-a230-4129-9083-7236f86a3640,2025-12-05T13:51:14.440Z,Pagamento de fatura,-33.6,BRL,DEBIT,POSTED,Transfers,05000000,acc_7d8f43fb-6760-4966-b5cc-bf4633ab91eb,RecargaPay,BANK,conn_5e9b45de-7c51-4f5f-9b32-e8407b38c7c8,767,RecargaPay
txn_1273b01a-2089-4964-84d4-ea8f6a88e1aa,2025-12-05T13:51:10.200Z,Recebido - Pix com chave,33.6,BRL,CREDIT,POSTED,Transfer - PIX,05070000,acc_7d8f43fb-6760-4966-b5cc-bf4633ab91eb,RecargaPay,BANK,conn_5e9b45de-7c51-4f5f-9b32-e8407b38c7c8,767,RecargaPay
txn_401c38c8-57c1-408f-8d40-8ff4fed61487,2025-12-05T13:44:33.073Z,PIX TRANSF LEONARD05/12,-1549,BRL,DEBIT,POSTED,Same person transfer,04000000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_cfbc0bb3-cd69-4d08-89dc-2b1a9c7f4bd5,2025-12-05T13:40:11.055Z,PIX QRS Zippi Fundo05/12,-798.75,BRL,DEBIT,POSTED,Mutual funds,03030000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_a7f97b89-f75c-470b-ab4e-3b0a2d922173,2025-12-05T13:24:05.048Z,PIX TRANSF Henriqu05/12,-350,BRL,DEBIT,POSTED,Transfer - PIX,05070000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_62cc5b1e-3cd7-4cc2-9c15-2fb0ff8eeead,2025-12-05T11:02:54.083Z,PIX TRANSF OSVANDR05/12,750,BRL,CREDIT,POSTED,Transfer - PIX,05070000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_2a5f41b5-acf8-4b86-98a6-b6e36572126f,2025-12-05T11:00:08.036Z,PIX TRANSF OSVANDR05/12,2000,BRL,CREDIT,POSTED,Transfer - PIX,05070000,acc_9fee2c5d-742d-4d7b-a823-02b68d195e91,itau,BANK,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_75ee8753-11b4-44a7-9d51-3fd1607a007f,2025-12-04T03:00:00.000Z,PIX GOWD INSTITUIC02/03,644.4,BRL,DEBIT,PENDING,Shopping,08000000,acc_8ba81f5c-ca7d-4ff2-8f70-b91d285ab880,PERSON MULTIPLO BLACK PONTOS,CREDIT,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_cbdb1419-6de8-409d-94ff-9a68ee65d519,2025-12-04T03:00:00.000Z,PIX LATAM GATEWAY 02/03,1074,BRL,DEBIT,PENDING,Shopping,08000000,acc_8ba81f5c-ca7d-4ff2-8f70-b91d285ab880,PERSON MULTIPLO BLACK PONTOS,CREDIT,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_7ac3ecf8-ed08-4c27-9be8-04869160c5c3,2025-12-04T03:00:00.000Z,MERCADOLIVRE*MERCA02/12,687.3,BRL,DEBIT,PENDING,Online shopping,08010000,acc_8ba81f5c-ca7d-4ff2-8f70-b91d285ab880,PERSON MULTIPLO BLACK PONTOS,CREDIT,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_6db85ce2-8d4f-4e2e-a3b0-28eefbdfab3f,2025-12-04T03:00:00.000Z,FARMACIA SAO JOAO 03/03,57.72,BRL,DEBIT,PENDING,Pharmacy,18020000,acc_8ba81f5c-ca7d-4ff2-8f70-b91d285ab880,PERSON MULTIPLO BLACK PONTOS,CREDIT,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_33029672-d2b5-4961-8143-9a26e5e9e3ce,2025-12-04T03:00:00.000Z,PANVEL MATRIZ     03/05,115.19,BRL,DEBIT,PENDING,Pharmacy,18020000,acc_8ba81f5c-ca7d-4ff2-8f70-b91d285ab880,PERSON MULTIPLO BLACK PONTOS,CREDIT,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_1619c6fa-fb0f-45ed-9ebf-8ca467101ad3,2025-12-04T03:00:00.000Z,PANVEL MATRIZ     04/05,62.91,BRL,DEBIT,PENDING,Pharmacy,18020000,acc_8ba81f5c-ca7d-4ff2-8f70-b91d285ab880,PERSON MULTIPLO BLACK PONTOS,CREDIT,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_b003b309-57c9-4388-9b4d-0eb13dd02c0e,2025-12-04T03:00:00.000Z,FARMACIA SAO JOAO 04/06,49.73,BRL,DEBIT,PENDING,Pharmacy,18020000,acc_8ba81f5c-ca7d-4ff2-8f70-b91d285ab880,PERSON MULTIPLO BLACK PONTOS,CREDIT,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
txn_2a4c84c3-1f2f-4707-b3a5-57bfb161f663,2025-12-04T03:00:00.000Z,FARMACIA SAO JOAO 06/06,43.56,BRL,DEBIT,PENDING,Pharmacy,18020000,acc_8ba81f5c-ca7d-4ff2-8f70-b91d285ab880,PERSON MULTIPLO BLACK PONTOS,CREDIT,conn_162a48de-d656-4a8c-a486-18c74791fe67,601,Itaú
