component_id,type,symbol_kind,name,rel_file,line,confidence,evidence,purpose,internal_deps,external_deps,stdlib_deps
7c513619327d,Unknown,function,lifespan,main.py,19,30.0,async def lifespan(app: FastAPI):,Unknown particle type,2,1,3
272fe1e417d2,Unknown,function,get_session,dddpy/infrastructure/di/injection.py,29,30.0,def get_session() -> Iterator[Session]:,Unknown particle type,4,2,1
95f50231ef4c,Unknown,function,get_todo_repository,dddpy/infrastructure/di/injection.py,49,30.0,def get_todo_repository(session: Session = Depends(get_session)) -> TodoRepository:,Unknown particle type,4,2,1
e51f930fdd15,Unknown,function,get_create_todo_usecase,dddpy/infrastructure/di/injection.py,61,30.0,def get_create_todo_usecase(,Unknown particle type,4,2,1
29883555e94b,Unknown,function,get_start_todo_usecase,dddpy/infrastructure/di/injection.py,75,30.0,def get_start_todo_usecase(,Unknown particle type,4,2,1
ec4bb16eb1da,Unknown,function,get_complete_todo_usecase,dddpy/infrastructure/di/injection.py,89,30.0,def get_complete_todo_usecase(,Unknown particle type,4,2,1
878ba48d2150,Unknown,function,get_update_todo_usecase,dddpy/infrastructure/di/injection.py,103,30.0,def get_update_todo_usecase(,Unknown particle type,4,2,1
c7a40347db19,Unknown,function,get_delete_todo_usecase,dddpy/infrastructure/di/injection.py,117,30.0,def get_delete_todo_usecase(,Unknown particle type,4,2,1
b1294ae02f3a,Unknown,function,get_find_todo_by_id_usecase,dddpy/infrastructure/di/injection.py,131,30.0,def get_find_todo_by_id_usecase(,Unknown particle type,4,2,1
f7cbc8320778,Unknown,function,get_find_todos_usecase,dddpy/infrastructure/di/injection.py,145,30.0,def get_find_todos_usecase(,Unknown particle type,4,2,1
c2b2fae9231f,Factory,function,create_tables,dddpy/infrastructure/sqlite/database.py,25,50.0,def create_tables():,Encapsulates complex object creation logic,0,3,0
6419d676c9df,RepositoryImpl,class,TodoRepositoryImpl,dddpy/infrastructure/sqlite/todo/todo_repository.py,15,75.0,class TodoRepositoryImpl(TodoRepository):,Concrete repository implementation (I/O boundary),4,3,1
66d7886f14d0,Unknown,function,new_todo_repository,dddpy/infrastructure/sqlite/todo/todo_repository.py,86,30.0,def new_todo_repository(session: Session) -> TodoRepository:,Unknown particle type,4,3,1
517ed4f964e9,DTO,class,TodoDTO,dddpy/infrastructure/sqlite/todo/todo_dto.py,19,50.0,class TodoDTO(Base):,Data transfer object / schema (no business behavior),3,2,2
067d7f17f7eb,UseCase,class,FindTodoByIdUseCase,dddpy/usecase/todo/find_todo_by_id_usecase.py,11,50.0,class FindTodoByIdUseCase(ABC):,Application-specific business operation with single purpose,4,0,1
