type,name,file_path,line,confidence,responsibility,purity,boundary,lifecycle,rpbl_score,evidence
Unknown,lifespan,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/main.py,19,30.0,5,5,5,5,5.0,async def lifespan(app: FastAPI):
Unknown,get_session,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/dddpy/infrastructure/di/injection.py,29,30.0,5,5,5,5,5.0,def get_session() -> Iterator[Session]:
Unknown,get_todo_repository,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/dddpy/infrastructure/di/injection.py,49,30.0,5,5,5,5,5.0,def get_todo_repository(session: Session = Depends
Unknown,get_create_todo_usecase,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/dddpy/infrastructure/di/injection.py,61,30.0,5,5,5,5,5.0,def get_create_todo_usecase(
Unknown,get_start_todo_usecase,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/dddpy/infrastructure/di/injection.py,75,30.0,5,5,5,5,5.0,def get_start_todo_usecase(
Unknown,get_complete_todo_usecase,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/dddpy/infrastructure/di/injection.py,89,30.0,5,5,5,5,5.0,def get_complete_todo_usecase(
Unknown,get_update_todo_usecase,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/dddpy/infrastructure/di/injection.py,103,30.0,5,5,5,5,5.0,def get_update_todo_usecase(
Unknown,get_delete_todo_usecase,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/dddpy/infrastructure/di/injection.py,117,30.0,5,5,5,5,5.0,def get_delete_todo_usecase(
Unknown,get_find_todo_by_id_usecase,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/dddpy/infrastructure/di/injection.py,131,30.0,5,5,5,5,5.0,def get_find_todo_by_id_usecase(
Unknown,get_find_todos_usecase,/mnt/data/spectrometer_system_audit/validation/test_repos/dddpy_real/dddpy/infrastructure/di/injection.py,145,30.0,5,5,5,5,5.0,def get_find_todos_usecase(
